,realtime_start,date,gdp_value
673,2017-10-27,1964-10-01,698.424
674,2018-07-27,1964-10-01,697.319
675,1991-12-04,1965-01-01,679.8
676,1996-01-19,1965-01-01,695.6
678,1999-10-29,1965-01-01,696.5
679,2003-12-10,1965-01-01,695.7
680,2013-07-31,1965-01-01,719.2
681,2017-10-27,1965-01-01,719.248
682,2018-07-27,1965-01-01,717.79
683,1991-12-04,1965-04-01,691.9
684,1996-01-19,1965-04-01,708.2
686,1999-10-29,1965-04-01,709.0
687,2003-12-10,1965-04-01,708.1
688,2013-07-31,1965-04-01,732.4
689,2017-10-27,1965-04-01,732.3689999999999
690,2018-07-27,1965-04-01,730.191
691,1991-12-04,1965-07-01,708.3
692,1996-01-19,1965-07-01,725.0
694,1999-10-29,1965-07-01,726.2
695,2003-12-10,1965-07-01,725.2
696,2013-07-31,1965-07-01,750.2
697,2017-10-27,1965-07-01,750.184
698,2018-07-27,1965-07-01,749.323
699,1991-12-04,1965-10-01,730.7
700,1996-01-19,1965-10-01,747.7
702,1999-10-29,1965-10-01,748.7
703,2003-12-10,1965-10-01,747.5
704,2013-07-31,1965-10-01,773.1
705,2017-10-27,1965-10-01,773.1039999999999
706,2018-07-27,1965-10-01,771.857
707,1991-12-04,1966-01-01,753.1
708,1996-01-19,1966-01-01,770.5
710,1999-10-29,1966-01-01,772.3
711,2003-12-10,1966-01-01,770.8
712,2013-07-31,1966-01-01,797.3
713,2017-10-27,1966-01-01,797.328
714,2018-07-27,1966-01-01,795.7339999999999
715,1991-12-04,1966-04-01,762.2
716,1996-01-19,1966-04-01,780.0
718,1999-10-29,1966-04-01,781.5
719,2003-12-10,1966-04-01,779.9
720,2013-07-31,1966-04-01,807.2
721,2017-10-27,1966-04-01,807.153
722,2018-07-27,1966-04-01,804.9810000000001
723,1991-12-04,1966-07-01,775.3
724,1996-01-19,1966-07-01,793.6
726,1999-10-29,1966-07-01,794.8
727,2003-12-10,1966-07-01,793.4
728,2009-07-31,1966-07-01,793.1
729,2013-07-31,1966-07-01,820.8
730,2017-10-27,1966-07-01,820.798
731,2018-07-27,1966-07-01,819.638
732,1991-12-04,1966-10-01,788.5
733,1996-01-19,1966-10-01,807.1
735,1999-10-29,1966-10-01,808.6
736,2003-12-10,1966-10-01,807.1
737,2009-07-31,1966-10-01,806.9
738,2013-07-31,1966-10-01,834.9
739,2017-10-27,1966-10-01,834.8639999999999
740,2018-07-27,1966-10-01,833.302
741,1991-12-04,1967-01-01,797.7
742,1996-01-19,1967-01-01,816.9
743,1997-05-07,1967-01-01,817.5
745,1999-10-29,1967-01-01,819.3
746,2003-12-10,1967-01-01,817.9
747,2009-07-31,1967-01-01,817.8
748,2013-07-31,1967-01-01,846.0
749,2017-10-27,1967-01-01,846.046
750,2018-07-27,1967-01-01,844.17
751,1991-12-04,1967-04-01,803.8
752,1996-01-19,1967-04-01,823.0
753,1997-05-07,1967-04-01,823.3
755,1999-10-29,1967-04-01,823.9
756,2003-12-10,1967-04-01,822.5
757,2009-07-31,1967-04-01,822.3
758,2013-07-31,1967-04-01,851.1
759,2017-10-27,1967-04-01,851.058
760,2018-07-27,1967-04-01,848.9830000000001
761,1991-12-04,1967-07-01,820.5
762,1996-01-19,1967-07-01,838.9
764,1999-10-29,1967-07-01,838.7
765,2003-12-10,1967-07-01,837.1
766,2009-07-31,1967-07-01,837.0
767,2013-07-31,1967-07-01,866.6
768,2017-10-27,1967-07-01,866.6139999999999
769,2018-07-27,1967-07-01,865.2330000000001
770,1991-12-04,1967-10-01,835.3
771,1996-01-19,1967-10-01,855.6
772,1997-05-07,1967-10-01,854.7
774,1999-10-29,1967-10-01,854.4
775,2003-12-10,1967-10-01,852.8
776,2009-07-31,1967-10-01,852.7
777,2013-07-31,1967-10-01,883.2
778,2017-10-27,1967-10-01,883.201
779,2018-07-27,1967-10-01,881.439
780,1991-12-04,1968-01-01,859.6
781,1996-01-19,1968-01-01,880.6
782,1997-05-07,1968-01-01,880.5
784,1999-10-29,1968-01-01,881.4
785,2003-12-10,1968-01-01,879.9
786,2009-07-31,1968-01-01,879.8
787,2013-07-31,1968-01-01,911.1
788,2017-10-27,1968-01-01,911.135
789,2018-07-27,1968-01-01,909.387
790,1991-12-04,1968-04-01,883.7
791,1996-01-19,1968-04-01,904.7
792,1997-05-07,1968-04-01,904.9
794,1999-10-29,1968-04-01,905.7
795,2003-12-10,1968-04-01,904.2
796,2009-07-31,1968-04-01,904.1
797,2013-07-31,1968-04-01,936.3
798,2017-10-27,1968-04-01,936.297
799,2018-07-27,1968-04-01,934.3439999999999
800,1991-12-04,1968-07-01,900.3
801,1996-01-19,1968-07-01,919.7
802,1997-05-07,1968-07-01,920.1
804,1999-10-29,1968-07-01,920.9
805,2003-12-10,1968-07-01,919.4
806,2009-07-31,1968-07-01,919.3
807,2013-07-31,1968-07-01,952.3
808,2017-10-27,1968-07-01,952.347
809,2018-07-27,1968-07-01,950.825
810,1991-12-04,1968-10-01,913.7
811,1996-01-19,1968-10-01,937.3
812,1997-05-07,1968-10-01,936.8
814,1999-10-29,1968-10-01,937.8
815,2003-12-10,1968-10-01,936.3
816,2009-07-31,1968-10-01,936.2
817,2013-07-31,1968-10-01,970.1
818,2017-10-27,1968-10-01,970.1289999999999
819,2018-07-27,1968-10-01,968.03
820,1991-12-04,1969-01-01,937.3
821,1996-01-19,1969-01-01,959.9
822,1997-05-07,1969-01-01,960.0
824,1999-10-29,1969-01-01,961.9
825,2003-12-10,1969-01-01,961.0
826,2009-07-31,1969-01-01,960.9
827,2013-07-31,1969-01-01,995.4
828,2017-10-27,1969-01-01,995.419
829,2018-07-27,1969-01-01,993.337
830,1991-12-04,1969-04-01,951.1
831,1996-01-19,1969-04-01,973.7
832,1997-05-07,1969-04-01,974.1
